Content,Suspicious_Level,ChannelName,ChannelId,MessageId,Date,EditDate
"Зеленский по-прежнему находится в Киеве, заявил советник главы его офиса.",1,,,,,
"Правительство Словении приняло решение о закрытии воздушного пространства для самолётов из России в связи с операцией РФ на Украине, сообщил кабмин. @rt_russian",1,,,,,
"#ПрямоСейчас глава пресс-службы Пентагона Джон Кирби проводит брифинг по ситуации на Украине. 
 
 Видео: ТАСС/ Ruptly
 
 Подписывайтесь на ТАСС: http://www.youtube.com/c/TASSagency/?sub_confirmation=1
 
 Наш сайт: https://tass.ru/
 Мы ВКонтакте: https://vk.com/tassagency
 Мы в Facebook: https://www.facebook.com/tassagency/
 Мы в Instagram: https://www.instagram.com/tass_agency/
 Мы в Одноклассниках: https://ok.ru/tassagency
 Мы в Twitter: https://twitter.com/tass_agency
 Мы в Telegram: https://t.me/tass_agency
 Мы в Viber: https://vb.me/tass_agency
 
 #Украина #Пентагон #СитуацияНаУкраине #ПентагонОСитуацииНаУкраине #НовостиУкраины #НовостиРоссии #МироваяПолитика #ВМире #НовостиМира",1,,,,,
"Европейских стран, которые не согласны с предложением отключить Россию от международной системы межбанковских платежей SWIFT, не осталось, заявила премьер-министр Литвы Ингрида Шимоните.",1,,,,,
Корреспондент РИА Новости показывает последствия обстрела по детскому саду в Донецке,1,,,,,
"⚡️ Z - технику укропы уже видят из Мариуполя Местные жители говорят, что уже зашли в Сартану, это ближайший пригород Мариуполя.",1,,,,,
Группа задержанных в Никополе украинских военнослужащих,1,,,,,
⚡️ ⚡️ ?? Заместитель главы Совбеза России Дмитрий Медведев назвал приостановку членства России в Совете Европы возможностью вернуть смертную казнь для самых опасных преступников. @CONQUEROR95,1,,,,,
Бой в Киеве,1,,,,,
"⚡️ Военнослужащие ЛНР без боя освободили два крупных города в Луганской области Армия Киева покинула Старобельск и Северодонецк. Эти данные подтверждают местные жители: ""ВСУшники на технике уехали из Старобельска и Северодонецка. Одна колонна отправилась в сторону Рубежного, другая – в сторону Новоайдара"".",1,,,,,
??  Васильков… @Caucasian_bureau,1,,,,,
"Чеченцы снимают украинские флаги в Гостемеле - около 25 км. от Киева. Напоминаем, что украинские спикеры ТРИЖДЫ подтверждали уничтожение российского десанта! Захвачена база 4-й бригады оперативного назначения НГУ (в/ч 3018) им. Сергея Михальчука",1,,,,,
"По украинским пабликам распространяют: ВСУ разгромили колонну военных из Чечни. Пишут, что якобы убит соратник Кадырова Магомед Тушаев, руководитель 141-го моторизованного полка. Проект «Война с фейками» @warfakes опровергает это: министр информации Чечни Ахмед Дудаев распространил запись голосового сообщения Тушаева. Канал публикует перевод аудио: «Хочу сказать тем, кто распространяет всякие слухи в интернете. Мы живы, мы на страже! Спасибо большое за беспокойство. Скажи всем, что мы живы. Тут ни у кого нет мужества причинить нам вред. Тут ни один волос не упал с парней из Чеченской Республики! Видео будет завтра, сейчас тут темно, ничего не видно». @rt_russian",1,,,,,
Чижов: Россия после операции выведет войска с Украины. Зеленского в какой-то момент ждет трибунал,1,,,,,
??  ?? 10 минут назад на Лисичанск ЛДНР начали наступление,1,,,,,
"‼️ ?? МЕЖДУ ДВУХ ШКОЛ!!! Нацисты ""Азова"" и ВСУ прячут бронетехнику во дворах В Мариуполе (оккупированная часть ДНР). ""Защитники грёбаные"", - говорят жители города",1,,,,,
"Объявление режима Зеленского террористическим это: 1. Обоснование возможности не только уголовного осуждения, но и физического устранения руководства Украины, сознательно отдающего приказы об убийстве русских на Донбассе. Заявление о том, что «ни один террорист не уйдет с территории Украины» (и реальное обеспечение этой угрозы) даст значительный деморализующий эффект для руководства Украины. 2. Предупреждение любых (весьма, кстати, возможных) попыток договорняков между украинской «элитой» и теми внутрироссийскими силами, которые недовольны решением Верховного. 3. Любая поддержка Украины из вне становится «поддержкой террористического режима» и актов государственного терроризма. https://t.me/rus_demiurge/18898",0,,,,,
"?? Продолжают поступать видео из Харькова. Вперёд, братья! ✊",1,,,,,
"Vладлен ТатарZкий Сейчас в Сумах получает пизды 27-я бригада реактивной артиллерии ВСУ. Каждый ополченец мечтал дотянуться до укровских артиллеристов, подержаться за горло. Именно они виновны в страданиях мирного населения Донбасса. Карма их настигла.",1,,,,,
"""В Киеве сегодня были убиты около 60 диверсантов. Задержаны десятки любителей поставить метку"" - советник министра МВД Виктор Андрусив У нас есть абсолютно достоверная информация. что из этих 60 минимум ... около десятка - ""закладчики"" наркотиков. Про остальных не знаем, но сильно сомневаемся, что это были диверсанты, да и сама цифра, честно говоря, смущает. Что касается наркоторговцев, то это радикально, но одобряемо.",1,,,,,
"Турция воздержалась от голосования по приостановке прав России в совете Европы, выступает за продолжение диалога при любых обстоятельствах, сообщил источник.",1,,,,,
"Франция намерена принять меры по борьбе с распространением российскими СМИ ""пропаганды"" в Европе. Соответствующее решение было принято по итогам заседания Совета по безопасности и национальной обороне в Елисейском дворце.",1,,,,,
❗️ НАТО призывает Россию немедленно прекратить военные действия на Украине,1,,,,,
Ровеньки ЛНР. Горит нефтебаза.,1,,,,,
"?? ➕ ?? Н икогда не забывайте, кто представляет настоящую угрозу миру - посольство КНР в России",1,,,,,
"Абоненты российских мобильных операторов потеряли доступ к телефонной связи в Донецкой Народной Республике. Как сообщает наш корреспондент, в Донецке и Макеевке сейчас нет доступа к сети по сим-картам российских операторов МТС и ""Мегафон"". Ранее для них автоматически подключался роуминг, который предоставлял украинский оператор ""Vodafone Украина"". Теперь мобильная телефонная связь доступна только в сети оператора ДНР ""Феникс"".",1,,,,,
"? ? ? ВОЕННОЕ ПРЕСТУПЛЕНИЕ ВСУ: Киев С Академгородка бьют градами по Варшавке (в районе бучи) в район плотной жилой застройке, предположительно пытаются накрыть российскую колонну Прилеты градов фиксируют мои близкие живущие в буче ЗЕЛЕНСКОМУ ВЫСШАЯ МЕРА!!! @OpenUkraine",1,,,,,
"Польша выступает за ускоренное принятие Украины в ЕС и предоставление Киеву доступа к европейским средствам, заявил президент Польши.",1,,,,,
? ? Мощный прилет по Донецку @anna_news @akimapache,1,,,,,
"Кличко объявил в Киеве комендантский час, пообещав считать всех, вышедших на улицу, диверсантами: «Для более эффективной обороны столицы и безопасности ее жителей с сегодняшнего дня комендантский час будет действовать с 17:00 до 08:00. Все гражданские лица, которые будут находиться на улице в период комендантского часа, будут считаться членами диверсионно-разведывательных групп врага»",1,,,,,
"Украинские ИПсО продолжают снимать блокбастеры с """"""пленными"""""". Обратите внимание, раньше писали, что он из Ямпольского полка - теперь, что из Кызылюрта",1,,,,,
Дети Донбасса начали обучение в русских школах ??‍? В школе Новочеркасска приступили к занятиям дети из ДНР и ЛНР. Они учатся в обычных классах вместе с российскими детьми.,1,,,,,
"Украинские военные бросают НАТОвские пушки и бегут с позиций Проданные шведские противотанковые ракетницы NLAW не помогают ВСУ. Натовская помощь попросту бросается на поле боя, так как отступать и тянуть тяжёлую бандуру не практично.",1,,,,,
"Санкции Великобритании не скажутся на качестве продукции ОСК, заявили в корпорации.",1,,,,,
"❗️ РФ полностью обеспечивает себя основными видами продовольствия - зерном и продуктами его переработки, мясной и рыбной продукцией, сахаром, растительным маслом и другими ключевыми продуктами питания, заявили в Минсельхозе РФ. Собственное производство молочной продукции, овощей и фруктов уже обеспечивает значительную часть внутреннего потребления, потребность в импортных товарах незначительна и в основном приходится на продукцию, которую не производят в нашей стране в силу климатических условий, добавили в ведомстве.",1,,,,,
"Российские каналы отключают от вещания в Европе Так, в Германии оператор Deutsche Telekom прекратил вещание РТР. В Эстонии операторы Telia и Elisa отключили российские каналы «РТР-планета», «НТВ Мир» и «Россия 24».",1,,,,,
❗️ Вашингтон пообещал ввести полные блокирующие санкции против РФПИ,1,,,,,
"Российским государственным СМИ запрещено размещать рекламу или монетизировать фейсбук ""в любой точке мира"". Об этом сообщил глава отдела политики безопасности Facebook Натаниэль Глейхер. Он добавил, что еще большее число российских госСМИ будут промаркированы специальной меткой в соцсети.",1,,,,,
"Боррель: «Путин — это не русский народ.» Ага, русский народ хотел этого ещё в 2014.",1,,,,,
"⚡️ ⚡️ ⚡️ Минобороны России: силы ЛНР продвинулись на глубину до 21 км и овладели Трёхизбенкой, соединения и части ДНР - до 25 км и вышли к Волновахе. @warjournaltg",1,,,,,
"⚡️ Станцию метро «Политехнический институт» в Киеве внутри закрыли на гермозатворы, то есть пройти в нее снаружи временно нельзя.",1,,,,,
"Сергей Лавров объяснил журналисту CNN Мэтью Ченсу что никто не бомбит Киев, в котором тот сидит и даже хотел влезть вне очереди на пресс-конференции. Потому что "" я в Киеве и тут бомбят"". Лавров задал вопрос Ченсу и другим иностранным СМИ, которые всполошились за последние дни: ""А где вы были все 8 лет?""",1,,,,,
Бойцы Росгвардии Чеченской республики выдвигаются на Украину.,1,,,,,
Второй день военной операции ВС РФ на территории Украины в инфографике иностранных СМИ.,1,,,,,
⚡️ В Одессе было слышно два сильных взрыва! Все в укрытие!,1,,,,,
"⚡️ Пресс-секретарь Песков сообщил, что в соответствии с достигнутой договоренностью российская делегация, состоящая из представителей МИД, Минобороны и других ведомств, включая администрацию президента, прибыла в Гомель для переговоров с украинцами. Теперь ждут украинцев",1,,,,,
"⚡ ❗ Донецк под массированным обстрелом. Множество прилетов. По сообщениям местных, прямые прилеты по ЖД вокзалу и округе",1,,,,,
‼️ ?? ТОЛЬКО ЧТО СБИТ ВТОРОЙ УДАРНЫЙ БАЙРАКТАР ?? ‼️  ЗРПК Панцирь-С Армии России уничтожил второй беспилотник в том же районе Седни в Черниговской обл. Ждём детали с места.,1,,,,,
"На Украине идет война,в это время хохлушки…",1,,,,,
"«Финляндия готовится закрыть воздушное пространство для российского воздушного движения», — написал министр транспорта страны. Так она станет 10 европейской страной применившей эту меру. По данным ARD, Евросоюз обсуждает закрытие воздушного пространства в качестве общей меры в очередном пакете санкций из-за военной операции России на Украине.",1,,,,,
⚡️ ?? ?? Обстановка к 10 утра четвертого дня Z ? На Киевском направлении прорвана оборона под Гостомелем . ? На Харьковском направлении оборона противника тоже прорвана: в 7 утра российская пехота вошла в городскую черту. ? На Донбассе продолжается наступление на Мариуполь — союзные силы закрепились на рубеже Павлополь — Пищевик . Со стороны ЛНР до Северодонецка осталось 8 км. ? На Херсонском направлении украинские войска постоянно обстреливают Каховскую ГЭС . ? На подступах к Сумам и Чернигову замечены крупные колонны российской военной техники. ? В Ровеньках взлетела на воздух нефтебаза после удара из украинской «Точки-У». ? На Украине объявили о формировании иностранного легиона. #Россия  #Украина @rybar,1,,,,,
Совет ЕС обязал банки ЕС отчитаться о принадлежащих физлицам и юрлицам РФ депозитах свыше 100 тыс. евро и получить обоснования происхождения средств.,1,,,,,
Международная федерация лыжного спорта (FIS) запретила российским спортсменами выступать на международных соревнованиях под флагом и с гимном. @rt_russian,1,,,,,
"С игрой ошиблись) это не arma, это dcs ?",1,,,,,
"❗️ ?? ??  ""Героически убитые"" Киевом украинские погранцы прибыли в Россию Похороненные Зеленским пограничники с острова Змеиный добровольно сложили оружие и прибыли в Крым.",1,,,,,
Байден обсудит со своей командой по нацбезопасности ситуацию на Украине. В разговоре также примет участие вице-президент США Камала Харрис.,1,,,,,
"США, ЕС, Британия и Канада договорились усилить координацию в сфере противостояния ""дезинформации и другим формам гибридной войны"", говорится в совместном заявлении.",1,,,,,
"⚡️ Попавший под санкции Совкомбанк сообщил РИА Новости, что не будет проводить переводы через системы Western Union и ""Золотая Корона""",1,,,,,
❗️ Одессе два сильных взрыва. Объявлена тревога. @military_corner,1,,,,,
Ukraine isn’t a real country.,1,,,,,
Харьков. 26/02/2022. Брошенная техника на чугуевской трассе.,1,,,,,
"‼️ Взятие ЧАЭС под охрану ВС РФ гарантирует неиспользование хранящихся там ядерных материалов для создания ""грязной бомбы"" Подписывайся @sev_polit_takt чтобы ничего не пропустить",1,,,,,
"Удары в Миргороде, Полтавская область.",1,,,,,
Сильный бой в Николаеве,1,,,,,
"«Турция еще не приняла решения о закрытии проливов для российских кораблей», — сообщают турецкие СМИ со ссылкой на высокопоставленного турецкого чиновника. Ключевое слово — ""еще"". Очень похоже на желание поторговаться. @voenkorKotenok",1,,,,,
"Дорогие друзья! Нам всем нужен мир! Но никакой мир на Украине невозможен без денацификации - искоренения фашизма, антисемитизма, русофобии, ""эскадронов смерти"", ""добробатов"", ""титушек"", заказчиков и исполнителей политических убийств, которых последние 8 лет так старательно выкармливали прежние украинские власти. Денацификация Украины становится уже неизбежной. Обещаю сделать все возможное ради того, чтобы неонацисткая мразь больше никогда не смогла поднять голову на нашей родной Украине. Депутат последнего легитимного созыва Верховной Рады Украины Олег Царев",3,,,,,
Около 300 сотрудников миссии ОБСЕ эвакуируются с Украины в Молдавию. @rt_russian,1,,,,,
"Пишет Елена Лаваль (Донецк). ================== Сейчас соберу в кучу дрожащие руки и кишащие в голове мысли и все - таки напишу.... На Украине у нас самые дорогие в мире люди. Все мысли только о них. Мне не хотелось, чтобы все пришло к тому, к чему пришло. Никому из донецких не хотелось. Напомнить вам, рыбки золотые, как мы умоляли, уговаривали, упрашивали вас опомниться на вашем вонючем майдане? Напомнить, что вы отвечали, выкалывая с азартом глаза мальчишкам- полицейским ? Над сожженными в Одессе не хотите посмеяться сейчас? Над светлым, чистым, юным Вадиком Папурой, которого с вашего согласия живьем сожгли бандеровские ублюдки? Как думаете сейчас, ему не было страшно? Вы не плюнули в рожи мразям типа Порошенко, Яценюка и Турчинова. Вы им пирожки носили. Не носили? Ожидаемо. Но мы же предупреждали, мы просили!!! Мы у вас были даунами, орками, алкашами и ублюдками. Нет? Да! Вчера читала призывы к донецким женщинам выйти на пл. Ленина и выступить против войны. Нам не нужно выходить: мы - против.. Когда нас 8 долбанных лет месили градами, вы, конечно же, выходили на ваш майдан и кричали: Порошенко, Зеленский, прекрати. Да? Нет? Нас и сейчас месят ВСУ, вот прямо сейчас, от злости, от бессилия, от понимания конца. Вы уже на площадях? Вас не бомбят. И очень надеюсь, бомбить не будут. Вы просто услышали непривычные звуки и затряслись от страха, что ваши шкурки полиняют, попки свалятся с удобных стульчиков. Хорошо, что вы поняли, что такое - страх войны. Мы 8 лет в нем живем. Вы даже жертв этой жуткой войны умудрились присвоить. 15 тысяч! 15, блин, тысяч убито из-за вас. А сколько погибло от рака, инфарктов и инсультов от многолетнего стресса? Но мы же орки, нас не жаль. Мой младший сын сказал вчера, что мы - православные, нельзя желать кому-то погибели. Боже, сохрани от этого! Донбасс, даже в этом своем катастрофическом положении, все эти годы сочувствовал вашим бедам. А вы? Вы глумились над телами разорванных донецких детей и женщин, над бедой, которую сами нам принесли. Ваши ""воины света"" отражали ""российскую навалу"" все 8 лет. Самая сильная армия Европы грудью кого-то сдерживала. Мы кричали: здесь нет России!!!! Вы смеялись и слали нам снаряды с надписью ""Детям Донбасса"". И не стеснялись выкладывать свои видео об этом. Не помните? Это понятно. Ваши воины ""света "" еще вчера бахвалились, что ""будут резать животы русне"". И? Так что же сейчас? Что для вас изменилось? Отражайте. Или вы врали всем и даже себе о России? Вы врали. Вы подлые, трусливые, гнусные. Вы угробили страну, красивую, добрую, цветущую. Непривычные звуки у вас скоро стихнут, но бояться вы, причастные ко всему, что происходит, будете всю вашу жалкую жизнь. Не за людей угробленных, за шкуры свои бандеровские будете переживать. Знаете, мне вас не жаль. Почувствуйте атмосферу, которую вы нам создали. И себе. Рвите теперь свои волосы во всех местах. Удачи! P.S. А вы, братья, работайте! Рана заживет, только если гнойник очистить. Так уж у нас вышло.",3,,,,,
Российская армия подогревают замерзающих военнослужащих ВСУ на окраине Харькова,1,,,,,
Королевский театр «Ковент-Гарден» в Лондоне отменил гастроли артистов Большого театра из-за ситуации на Украине. Ранее отменили выступления дирижера Валерия Гергиева и пианиста Дениса Мацуева в концертном зале Карнеги-холл в Нью-Йорке.,1,,,,,
"?? Псаки - на вопрос об отправке войск на Украину: Задача президента США оценивать, что в интересах США, интересах национальной безопасности, интересах американского народа и, безусловно, интересах мирового сообщества. Но вступать в войну с Россией — не наш интерес. Поэтому, мы не отправим войска США на Украину.",1,,,,,
"РФ не может допустить превращения Украины в занесенный над Россией кинжал Вашингтона, заявил Нарышкин.",1,,,,,
"Будни киевского фольксштурма - полицейские задержали сотрудника СБУ, которого они ошибочно приняли за диверсанта. Наглядно иллюстрирует тот уровень бардака, который творится у украинской столице",1,,,,,
Когда раздали калаши всем желающим XD На трассе Запорожье-Днепр мародеры пытались захватить машину АТБ с продуктами ? WARSTOP ?,1,,,,,
⚡️ Подразделения Вооруженных сил России продолжают выполнение задач в районе Киева и других городов — Минобороны РФ,1,,,,,
Санкционные российские банки в совместном заявлении сообщили о бесперебойной работе и достатке ликвидности для удовлетворения спроса.,1,,,,,
Песков: Пауза в раздумьях Киева сопровождается размещением РСЗО в городах,1,,,,,
"Генпрокуратура заявила, что Facebook неправомерно ограничил распространение интернет-пользователями общественно значимой информации на территории России. Соцсеть нарушает предусмотренное статьей 29 Конституции РФ право россиян на свободу информации. @rt_russian",1,,,,,
"❗️ Сообщается, что здание СБУ в Чернигове горит. Вероятная причина - попадание снарядов.",1,,,,,
"?? ?? Где-то на улицах Сум. В городе звучит тревога, сообщают об обстрелах.",1,,,,,
‼️ Военнослужащие 57 омпбр ВСУ сложили оружие и добровольно перешли на сторону ЛНР Подписывайся @sev_polit_takt чтобы ничего не пропустить,1,,,,,
"⚡️ ⚡️ ?? Рамзан Кадыров о чеченских подразделениях вступивших в дело и ситуации в целом. — Определенные структуры хотят сделать из Украины новую Чеченскую войну — На сию минуту нет потерь, нет раненых, нет даже солдат с царапиной или насморком — Наши бойцы “забрали” бригаду Нацгвардии Украины. Изъяли оружие и технику, после этого их отпустили — Клоун Зеленский обманывает вас. Говорит чушь и ерунду. Российские военные не сдаются. Первая задача армии — обеспечить безопасность мирного населения. — Бандиты ставят технику в городах и селах и оттуда ведут боевые действия. — Продажные люди выступают против государства. А 99% населения России поддерживают решение президента. — Нам жалко вас. Будут страдать женщины и дети, если вы не выйдете и не очистите свои города от преступной власти. Я вас прошу. @CONQUEROR95",3,,,,,
"Кадыров: совет Зеленскому, пока он не стал действующим экс-президентом Украины Глава Чечни выступил перед несколькими тысячами чеченских силовиков и попросил Зеленского извиниться перед Путиным. Ааа, ах вот куда собрались эти ребята!",1,,,,,
"В Житомире сбит российский самолет. Точно русский, так как у нас нет уже авиации, только вертушки остались.",1,,,,,
"ВС Украины за сутки 139 раз обстреливали территорию ДНР, в результате два жителя погибли, 12 ранены, заявил Басурин.",1,,,,,
Принято решение отключать РФ от SWIFT - МИД Украины. Значит это ещё один шаг к признанию криптовалюты в России. Мир меняется.,1,,,,,
"‼️ Главное из выступления Путина на заседании Совбеза : - бандеровцы и неонацисты выставляют тяжёлое вооружение прямо в центральных районах крупных городов, включая Киев и Харьков. - неонацисты планируют использовать детей, жен и стариков в качестве живого щита. - в Киеве засела ""шайкой наркоманов и неонацистов"", которая взяла в заложники весь украинский народ. - ""Берите власть в свои руки, похоже, нам с вами будет легче договориться"". - Вооруженные силы России в ходе спецоперации на Украине действуют мужественно, профессионально и героически. Подписывайся @sev_polit_takt чтобы ничего не пропустить",1,,,,,
"❗️ Россия возобновляет авиасообщение с Индонезией и Китаем с 14 марта. Также с 14 марта увеличивает число авиарейсов в 16 стран и возобновляет полеты за рубеж из аэропорта Череповца, передает оперштаб.",1,,,,,
"❗️ Местные жители в Луганской области сообщают, что под контроль ВС РФ также перешли Рубежное, Курячевка и Лиман. ❗️ Сообщается о боях между ВС РФ и ВСУ в Лисичанске и Северодонецке. Луганская область.",1,,,,,
"В центре Харькова в текстурах застряли ракеты. Неподалеку в жилом квартале засели украинские военные с установками реактивной системы залпового огня, они ведут провокационный огонь в сторону южной автодороги.",1,,,,,
— Украиножер идёт в Мариуполь! — Оккупант вошёл в Херсон! — Путин занял Запорожье! — Владимир Владимирович приближается к Черкассам! — Его Императорское Величество вступает в верный ему Киев! — Ура Самодержцу Всея Руси! #Освобождение Владимир Рогов,1,,,,,
"⚡️ Брифинг Минобороны о ходе операции российских военных: — группировки войск ДНР и ЛНР при огневой поддержке ВС России продолжают развивать успех наступления; — националистические батальоны, отходя, взрывают за собой электроподстанции и мосты; — подразделения российских ВС установили полный контроль над городом Мелитополь . Военнослужащие РФ предпринимают все меры для обеспечения безопасности мирных жителей и исключения провокаций со стороны Украины; — российскими ВС поражен 821 военный объект Украины. Подчеркивается, что огонь ведётся только по военной инфраструктуре ; — сбито 7 боевых самолетов, 7 вертолетов, 9 беспилотников; — уничтожено 87 танков и других боевых бронированных машин, 28 реактивных систем залпового огня, 118 единиц военной автомобильной техники, а также 8 военных катеров. @rt_russian",1,,,,,
